# Vehicle stock,,,,,,,
sector,mode,technology,var1,var2,var3,var4,unit_conv
trn_freight_road,Heavy truck,Liquids,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Internal Combustion,,,1
trn_freight_road,Light truck,Liquids,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Internal Combustion,,,1
trn_freight_road,Medium truck,Liquids,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Internal Combustion,,,1
trn_freight_road,Light truck,NG,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Internal Combustion,,,1
trn_freight_road,Heavy truck,Hybrid Liquids,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Internal Combustion,,,1
trn_freight_road,Light truck,Hybrid Liquids,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Internal Combustion,,,1
trn_freight_road,Medium truck,Hybrid Liquids,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Internal Combustion,,,1
trn_freight_road,Heavy truck,BEV,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Battery-Electric,,,1
trn_freight_road,Heavy truck,FCEV,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Fuel-Cell-Electric,,,1
trn_freight_road,Light truck,BEV,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Battery-Electric,,,1
trn_freight_road,Light truck,FCEV,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Fuel-Cell-Electric,,,1
trn_freight_road,Medium truck,BEV,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Battery-Electric,,,1
trn_freight_road,Medium truck,FCEV,Stocks|Transportation|Truck,Stocks|Transportation|Truck|Fuel-Cell-Electric,,,1
trn_pass_road_LDV,2W and 3W,Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Internal Combustion,1
trn_pass_road_LDV,2W and 3W,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Battery-Electric,1
trn_pass_road_LDV,2W and 3W,LA-BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Plug-in Hybrid,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Plug-in Hybrid,1
trn_pass_road_LDV,2W and 3W,NG,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler,Stocks|Transportation|Light-Duty Vehicle|Two-Wheeler|Internal Combustion,1
trn_pass_road_LDV_4W,Car,Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W,Mini Car,Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W,Car,NG,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W,Large Car and Truck,NG,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W,Mini Car,NG,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W,Car,Hybrid Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
trn_pass_road_LDV_4W,Car,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,,,1
trn_pass_road_LDV_4W,Car,FCEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric,,,1
trn_pass_road_LDV_4W,Large Car and Truck,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,,,1
trn_pass_road_LDV_4W,Large Car and Truck,FCEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric,,,1
trn_pass_road_LDV_4W,Mini Car,BEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Battery-Electric,,,1
trn_pass_road_LDV_4W,Mini Car,FCEV,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Fuel-Cell-Electric,,,1
trn_pass_road_LDV_4W_other,Car,Liquids,Stocks|Transportation|Light-Duty Vehicle,Stocks|Transportation|Light-Duty Vehicle|Internal Combustion,,,1
