# Multiple load segments Electricity generation by technology (inc solar roofs),,,,,,,,,,
subsector,technology,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
biomass,"biomass cogen,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,,1
biomass,"biomass_base_conv,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,,1
biomass,"biomass_base_conv_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,,,1
biomass,"biomass_base_IGCC,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,,1
biomass,"biomass_base_IGCC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,,,1
biomass,"biomass_int_conv,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,,1
biomass,"biomass_int_conv_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,,,1
biomass,"biomass_int_IGCC,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,,1
biomass,"biomass_int_IGCC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,,,1
biomass,"biomass (IGCC),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,,1
biomass,"biomass (conv),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,,,1
biomass,"biomass (IGCC CCS),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,,,1
biomass,"biomass (conv CCS),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,,,1
coal,"coal cogen,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 1951-1955,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 1956-1960,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 1961-1965,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 1966-1970,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 1971-1975,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 1976-1980,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 1981-1985,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 1986-1990,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 1991-1995,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 1996-2000,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 2001-2005,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 2006-2010,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul 2011-2015,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul before 1950,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_conv pul_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,,,,,,1
coal,"coal_base_conv pul_retire_2020,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_base_IGCC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,,,,,,1
coal,"coal_int_conv pul,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 1951-1955,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 1956-1960,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 1961-1965,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 1966-1970,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 1971-1975,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 1976-1980,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 1981-1985,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 1986-1990,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 1991-1995,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 1996-2000,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 2001-2005,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 2006-2010,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul 2011-2015,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul before 1950,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_conv pul_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,,,,,,1
coal,"coal_int_conv pul_retire_2020,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_int_IGCC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,,,,,,1
coal,"coal_peak_conv pul,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_peak_conv pul_retire_2020,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_subpeak_conv pul,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal_subpeak_conv pul_retire_2020,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal (IGCC),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal (conv pul),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,,,,,,1
coal,"coal (IGCC CCS),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,,,,,,1
coal,"coal (conv pul CCS),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,,,,,,1
gas,"gas cogen,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,,,,,,1
gas,"gas_base_CC,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,,,,,,1
gas,"gas_base_CC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,,,,,,1
gas,"gas_int_CC,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,,,,,,1
gas,"gas_int_CC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,,,,,,1
gas,"gas_peak_CC,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,,,,,,1
gas,"gas_peak_CC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,,,,,,1
gas,"gas_peak_steam/CT,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,,,,,,1
gas,"gas_subpeak_CC,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,,,,,,1
gas,"gas_subpeak_CC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,,,,,,1
gas,"gas_subpeak_steam/CT,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,,,,,,1
gas,"gas (CC),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,,,,,,1
gas,"gas (steam/CT),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,,,,,,1
gas,"gas (CC CCS),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,,,,,,1
geothermal,"geothermal,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Geothermal,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,,1
geothermal,"geo_base,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Geothermal,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,,1
hydro,"hydro_base,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Hydro,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,,1
hydro,"hydro_int,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Hydro,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,,1
hydro,"hydro,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Hydro,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,,1
hydrogen,"hydrogen cogen,depth=1",Secondary Energy|Electricity,,,,,,,,1
nuclear,"nuc_base_Gen II,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Nuclear,,,,,,,1
nuclear,"nuc_base_Gen III,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Nuclear,,,,,,,1
nuclear,"Gen_III,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Nuclear,,,,,,,1
nuclear,"Gen_II_LWR,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Nuclear,,,,,,,1
refined liquids,"refined liquids cogen,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids_base_CC,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids_base_CC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/ CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,1
refined liquids,"refined liquids_base_steam/CT,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids_int_CC,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids_int_CC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/ CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,1
refined liquids,"refined liquids_int_steam/CT,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids_peak_CC,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids_peak_CC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/ CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,1
refined liquids,"refined liquids_peak_steam/CT,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids_subpeak_CC,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids_subpeak_CC_CCS,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/ CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,1
refined liquids,"refined liquids_subpeak_steam/CT,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids (CC),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids (steam/CT),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,1
refined liquids,"refined liquids (CC CCS),depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/ CCS,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,1
rooftop_pv,"rooftop_pv,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Solar|PV,,,,,1
solar,"CSP_base_storage,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Solar|CSP,,,,,1
solar,"CSP_int,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Solar|CSP,,,,,1
solar,"CSP_peak,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Solar|CSP,,,,,1
solar,"CSP_subpeak,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Solar|CSP,,,,,1
solar,"CSP_storage,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Solar|CSP,,,,,1
solar,"CSP,depth=1",Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Solar|CSP,,,,,1
